"","Main_Location","Date","Dir","AM_PHV","PM_PHV","ADT","AAWDT","AAWET","Intersection","formatted_address","geometry.location.lat","geometry.location.lng"
"120","7TH",2006-03-16,"EB",61,234,NA,NA,NA,"LOGAN","E 7th Ave & Logan St, Denver, CO 80203, USA","39.7272674","-104.9823531"
"121","8TH AVE",2007-11-14,"EB",326,291,NA,NA,NA,"MARIPOSA ST","W 8th Ave & Mariposa St, Denver, CO 80204, USA","39.7289637","-105.0028397"
"122","8TH AVE",2009-04-10,"WB",444,752,NA,NA,NA,"DECATUR ST","Decatur St & W 8th Ave, Denver, CO 80204, USA","39.7293137","-105.021707"
"123","8TH AVE",2010-04-08,"WB",2130,1794,NA,21735,NA,"LOGAN ST","E 8th Ave & Logan St, Denver, CO 80203, USA","39.729078","-104.9823581"
"124","9TH AVE",2009-02-10,"EB",110,168,NA,NA,NA,"LOGAN ST","E 9th Ave & Logan St, Denver, CO 80203, USA","39.7304501","-104.9822659"
"125","ACADEMY BLVD",2013-11-22,"SB",120,149,NA,1833,NA,"RAMPART WAY ","Rampart Way & Academy Blvd, Denver, CO 80230, USA","39.7189497","-104.8970602"
"126","ACADEMY BLVD",2013-11-22,"SB",120,149,NA,1833,NA," SPRUCE ST.","E Academy Blvd, Denver, CO 80230, USA","39.7198962","-104.8954099"
"127","AIRPORT WAY",2015-10-30,"SB",136,184,NA,1976,NA,"E ANDREWS WAY ","Airport Way, Denver, CO 80239, USA","39.7759082","-104.794713"
"128","AIRPORT WAY",2015-10-30,"SB",136,184,NA,1976,NA," E 40TH AVE","14750 E 40th Ave, Denver, CO 80239, USA","39.7723916","-104.8168274"
"129","ALAMEDA",2006-09-19,"EB",677,1131,NA,NA,NA,"COLORADO BLVD","Alameda Ave & S Colorado Blvd, Denver, CO 80246, USA","39.71138","-104.939338"
"130","ALAMEDA",2006-11-14,"EB",1186,1335,NA,NA,NA,"BROADWAY","S Broadway, Colorado, USA","39.6219852","-104.9880642"
"131","ALAMEDA",2006-11-14,"EB",1594,1441,NA,NA,NA,"KALAMATH","S Kalamath St, Denver, CO 80223, USA","39.6948957","-105.0003349"
"132","ALAMEDA",2006-11-14,"WB",956,1172,NA,NA,NA,"LINCOLN","S Lincoln St & Alameda Ave, Denver, CO 80209, USA","39.711333","-104.986249"
"133","ALAMEDA",2006-11-14,"WB",1180,1649,NA,NA,NA,"SANTA FE","Santa Fe Dr, Denver, CO, USA","39.7279358","-104.9986033"
"134","ALAMEDA",2009-02-03,"EB",1277,1316,NA,NA,NA,"FEDERAL","W Alameda Ave & S Federal Blvd, Denver, CO 80219, USA","39.711025","-105.024578"
"135","ALAMEDA",2010-04-05,"WB",1221,895,NA,NA,NA,"LEETSDALE","4500 E Alameda Ave, Denver, CO 80246, USA","39.7108","-104.9354041"
"136","ALAMEDA",2010-04-05,"EB",1073,1638,NA,NA,NA,"SO. GALENA WAY","S Galena Way, Denver, CO 80247, USA","39.7057214","-104.8668479"
"137","ALAMEDA",2010-12-07,"WB",1630,1148,NA,NA,NA,"WOODSIDE VILLAGE","8335 Fairmount Dr, Denver, CO 80247, USA","39.7078161","-104.8903148"
"138","ALAMEDA",2011-10-18,"EB",NA,NA,NA,NA,NA,"UNIVERSITY BLVD","S University Blvd & Alameda Ave, Denver, CO 80209, USA","39.7112095","-104.959251"
"139","ALAMEDA",2011-11-28,"WB",553,807,NA,8620,NA,"MARION ST","N Marion St, Denver, CO, USA","39.7620129","-104.972123"
"140","ALBION ST",2008-10-13,"SB",27,19,NA,NA,NA,"E. 23RD ST","Albion St & E 23rd Ave, Denver, CO 80207, USA","39.7510385","-104.939452"
"141","ALBION ST",2008-10-13,"NB",28,26,NA,NA,NA,"MONTVIEW BLVD","Albion St & Montview Blvd, Denver, CO 80220, USA","39.7473913","-104.938918"
"142","ALBROOK DR",2011-04-16,"EB",229,415,NA,NA,NA,"PEORIA ","Peoria St & Albrook Dr, Denver, CO 80239, USA","39.7823857","-104.8469328"
"143","ALBROOK DR",2011-04-16,"EB",229,415,NA,NA,NA," N. TULSA CT.","Albrook Dr, Denver, CO 80239, USA","39.7786908","-104.8382375"
"144","ALBROOK DR",2011-06-04,"EBRT",18,22,NA,205,NA,"TULSA CT.","Tulsa Ct & Albrook Dr, Denver, CO 80239, USA","39.7806432","-104.8417734"
"145","AMHERST AVE",2009-12-16,"EB",112,98,NA,NA,NA,"UNIVERSITY BLVD","E Amherst Ave & S University Blvd, Denver, CO 80210, USA","39.6660223","-104.9593905"
"146","AMHERST AVE (PRIVATE DR)",2009-12-16,"WB",54,57,NA,NA,NA,"UNIVERSITY BLVD","E Amherst Ave, Colorado, USA","39.665493","-104.9417669"
"147","ANDES WAY",2008-09-23,"NB",19,19,NA,NA,NA,"41ST PL.","Andes Way & E 41st Pl, Denver, CO 80249, USA","39.7731925","-104.7693091"
"148","ARAPAHOE ST",2009-06-04,"WB",374,529,NA,NA,NA,"16TH AND 17TH ST","Arapahoe St & 16th St Mall, Denver, CO 80202, USA","39.7478308","-104.9956602"
"149","ARAPAHOE ST",2013-06-20,"WB",429,792,NA,6675,NA,"17th ST ","17th St & Arapahoe St [ Y Stop ], Denver, CO 80265, USA","39.748379","-104.99408"
"150","ARAPAHOE ST",2013-06-20,"WB",393,821,NA,6647,NA," 16th ST","1001 16th St Mall, Denver, CO 80265, USA","39.747799","-104.994906"
"151","ARAPAHOE ST",2015-09-17,"EB",356,177,NA,2476,NA,"14TH ST ","14th St & Arapahoe St, Denver, CO 80202, USA","39.7460197","-104.9980648"
"152","ARAPAHOE ST",2015-09-17,"EB",356,177,NA,2476,NA," 13TH ST","2409 Arapahoe St, Denver, CO 80205, USA","39.7562052","-104.9851781"
"153","ARAPAHOE ST",2015-09-17,"WB",274,512,NA,5231,NA," 14TH ST","2026 Arapahoe St, Denver, CO 80205, USA","39.7518737","-104.9899765"
"154","ARIZONA ST",2009-07-01,"EB/WB",153,180,NA,NA,NA,"GILPIN ST","E Arizona Ave & S Gilpin St, Denver, CO 80210, USA","39.6947853","-104.9675256"
"155","ARKINS CT.",2014-01-17,"SB",92,58,NA,823,NA,"36th ST ","36th St & Arkins Ct, Denver, CO 80216, USA","39.7728444","-104.9797133"
"156","ARKINS CT.",2014-01-17,"SB",92,58,NA,823,NA," 38th ST","Arkins Ct, Denver, CO 80216, USA","39.7704475","-104.9816139"
"157","ASBURY",2008-08-11,"EBLT",82,118,NA,NA,NA,"UNIVERSITY BLVD","S University Blvd & E Asbury Ave, Denver, CO 80210, USA","39.6802531","-104.9593869"
"158","AURARIA PKWY",2014-11-07,"WB",598,1615,NA,14059,NA,"7th ST","Auraria Pkwy & 7th St, Denver, CO 80204, USA","39.7450087","-105.0094706"
"159","BANNOCK ST",2010-07-23,"NB",280,442,NA,NA,NA,"14th Ave","W 14th Ave & Bannock St, Denver, CO 80202, USA","39.738449","-104.9902579"
"160","BASSETT ST.",2012-09-03,"SB",45,47,NA,617,NA,"LITTLE RAVEN ST. ","1880 Little Raven St, Denver, CO 80202, USA","39.7583997","-105.0028718"
"161","BASSETT ST.",2012-09-03,"SB",45,47,NA,617,NA," 18th ST.","1700 Bassett St, Denver, CO 80202, USA","39.7565553","-105.0033915"
"162","BAYAUD AVE",2012-08-28,"EB",115,230,NA,1903,NA,"S. MADISON ST.","E Bayaud Ave & S Madison St, Denver, CO 80209, USA","39.7146587","-104.9461844"
"163","BEELER ST",2015-05-22,"SB",110,57,NA,663,NA,"E 24th Pl ","E 24th Pl & Beeler St, Denver, CO 80238, USA","39.7519553","-104.8808646"
"164","BEELER ST",2015-05-22,"SB",110,57,NA,663,NA," E 25th Dr","Beeler St, Colorado, USA","39.7463227","-104.8810937"
"165","BELLAIRE ST",2011-06-27,"SB",84,65,NA,618,NA,"18th AVE ","E 18th Ave & Bellaire St, Denver, CO 80220, USA","39.7449403","-104.9372034"
"166","BELLAIRE ST",2011-06-27,"SB",84,65,NA,618,NA," 17th AVE","Bellaire St, Denver, CO, USA","39.740705","-104.9372339"
"167","BELLEVIEW",2008-09-16,"EB",627,915,NA,NA,NA,"FIELD ST","S Field St & W Belleview Ave, Lakewood, CO 80123, USA","39.6241621","-105.0986185"
"168","BELLEVIEW",2008-09-16,"WB",466,818,NA,NA,NA,"GARLAND ST","S Garland St & W Belleview Ave, Denver, CO 80123, USA","39.624261","-105.1026808"
"169","BLAKE",2010-06-17,"WB",323,355,NA,NA,NA,"27th","27th St & Blake St, Denver, CO 80205, USA","39.7608363","-104.9858834"
"170","BLAKE",2010-06-17,"WB",262,327,NA,NA,NA,"33rd","33rd St & Blake St, Denver, CO 80205, USA","39.7664361","-104.9786562"
"171","BRIGHTON BLVD",2013-06-07,"SB",961,548,NA,8786,NA,"40th ST ","Brighton Blvd & 40th St, Denver, CO 80216, USA","39.7746715","-104.9732087"
"172","BRIGHTON BLVD",2013-06-07,"NB",476,906,NA,8358,NA,"36th ST ","36th St & Brighton Blvd, Denver, CO 80216, USA","39.7712652","-104.9776245"
"173","BRIGHTON BLVD",2013-06-07,"SB",961,548,NA,8786,NA," 39th ST","Brighton Blvd, Colorado, USA","39.7916764","-104.9591853"
"174","BROADWAY",2006-01-10,"SB",1580,2548,NA,NA,NA,"CENTER","487 S Broadway #90, Denver, CO 80209, USA","39.708028","-104.990469"
"175","BROADWAY",2006-01-10,"NB",1476,1124,NA,NA,NA,"LOUISIANA","E Louisiana Ave & Broadway, Denver, CO 80210, USA","39.6930071","-104.9875415"
